TermCRN,L,R,WL
SpringTerm2024-3075,,,
SpringTerm2024-3744,,51,
SpringTerm2024-3743,,49,
SpringTerm2024-3076,,,
SpringTerm2024-3077,,,
SpringTerm2024-3078,,,
SpringTerm2025-3671,14,14,0
SpringTerm2025-3672,14,8,0
SpringTerm2025-3664,22,7,0
SpringTerm2025-3665,22,4,0
SpringTerm2025-3061,,,
SpringTerm2025-3667,24,14,0
SpringTerm2025-3668,24,15,0
SpringTerm2025-3658,12,12,0
SpringTerm2025-3659,12,12,0
SpringTerm2025-3669,20,10,0
SpringTerm2025-3062,,,
SpringTerm2025-3063,,,
SpringTerm2025-3064,,,
SpringTerm2025-4060,12,12,0
SpringTerm2025-4061,12,12,0
SpringTerm2025-3789,24,24,6
SpringTerm2025-3065,,,
SpringTerm2025-3066,,,
SpringTerm2025-3067,,,
SpringTerm2025-3739,,31,
SpringTerm2025-3740,,32,
SpringTerm2025-3068,,,
SpringTerm2025-3069,,,
SpringTerm2025-3070,,,
FallTerm2023-5991,30,30,0
FallTerm2023-5992,35,40,0
FallTerm2023-6107,35,31,0
FallTerm2024-5763,15,15,0
FallTerm2024-5764,25,25,1
FallTerm2024-5766,20,20,0
FallTerm2024-5768,35,22,0
FallTerm2024-5904,24,17,0
FallTerm2024-5972,25,13,0
FallTerm2024-5884,35,35,0
FallTerm2024-5840,,26,0
WinterTerm2024-2077,30,28,0
WinterTerm2024-2078,20,19,0
WinterTerm2024-2004,35,36,0
WinterTerm2024-2141,25,18,0
WinterTerm2024-2087,,20,0
WinterTerm2024-2011,,10,0
WinterTerm2024-2132,25,7,0
WinterTerm2024-2109,,14,0
WinterTerm2025-1719,20,13,0
WinterTerm2025-2082,20,20,0
WinterTerm2025-1720,35,35,6
WinterTerm2025-1905,,11,
WinterTerm2025-1906,,8,0
WinterTerm2025-1806,,27,
SpringTerm2024-4002,30,29,0
SpringTerm2024-4124,30,31,0
SpringTerm2024-4003,35,39,0
SpringTerm2024-4005,35,33,0
SpringTerm2024-4125,24,14,0
SpringTerm2024-4076,,13,0
SpringTerm2024-4129,,11,0
SpringTerm2024-4007,20,18,0
SpringTerm2024-4037,,10,0
SpringTerm2024-4091,,19,0
SpringTerm2024-4127,15,12,0
SpringTerm2024-4014,,27,
SpringTerm2024-4008,,8,
SpringTerm2025-3753,20,14,0
SpringTerm2025-3754,20,11,0
SpringTerm2025-3755,20,12,0
SpringTerm2025-3757,35,35,1
SpringTerm2025-3759,35,33,0
SpringTerm2025-3836,24,18,0
SpringTerm2025-3902,,17,
SpringTerm2025-4085,,7,0
SpringTerm2025-3995,16,11,0
SpringTerm2025-4114,,0,0
SpringTerm2025-3832,24,4,0
SpringTerm2025-3869,,11,
SpringTerm2025-3868,,23,
FallTerm2023-5987,24,12,0
FallTerm2023-5582,,8,
FallTerm2023-5593,44,37,0
FallTerm2023-5596,44,36,0
FallTerm2023-5105,,,
FallTerm2023-5106,,,
FallTerm2023-5591,,17,0
FallTerm2023-5583,32,39,0
FallTerm2023-5590,,17,
FallTerm2023-5107,,,
FallTerm2023-5108,,,
FallTerm2023-5109,,,
FallTerm2023-5110,,,
FallTerm2023-5712,,12,
FallTerm2023-5589,20,9,0
FallTerm2023-5111,,,
FallTerm2023-5112,,,
FallTerm2023-5113,,,
FallTerm2023-5114,,,
FallTerm2023-5115,,,
FallTerm2023-5116,,,
FallTerm2023-5117,,,
FallTerm2023-5118,,,
FallTerm2024-5772,,4,
FallTerm2024-5774,14,8,0
FallTerm2024-5775,14,14,0
FallTerm2024-5777,10,10,0
FallTerm2024-5778,10,10,3
FallTerm2024-5105,,,
FallTerm2024-5106,,,
FallTerm2024-5779,20,11,0
FallTerm2024-5781,16,16,1
FallTerm2024-5782,16,7,0
FallTerm2024-5786,,13,
FallTerm2024-5107,,,
FallTerm2024-5108,,,
FallTerm2024-5109,,,
FallTerm2024-5110,,,
FallTerm2024-5787,,5,
FallTerm2024-5111,,,
FallTerm2024-5112,,,
FallTerm2024-5113,,,
FallTerm2024-5114,,,
FallTerm2024-5115,,,
FallTerm2024-5116,,,
FallTerm2024-5117,,,
WinterTerm2024-1580,,5,
WinterTerm2024-1581,44,24,0
WinterTerm2024-1584,44,20,0
WinterTerm2024-2064,20,7,0
WinterTerm2024-1103,,,
WinterTerm2024-1104,,,
WinterTerm2024-1614,40,35,0
WinterTerm2024-1617,22,6,0
WinterTerm2024-1587,,11,
WinterTerm2024-1105,,,
WinterTerm2024-1106,,,
WinterTerm2024-1107,,,
WinterTerm2024-1108,,,
WinterTerm2024-1588,9,7,0
WinterTerm2024-1618,24,17,0
WinterTerm2024-1589,,16,
WinterTerm2024-1109,,,
WinterTerm2024-1110,,,
WinterTerm2024-1111,,,
WinterTerm2024-1112,,,
WinterTerm2024-1113,,,
WinterTerm2024-1114,,,
WinterTerm2024-1115,,,
WinterTerm2024-1116,,,
WinterTerm2025-1727,9,9,10
WinterTerm2025-1728,9,9,12
WinterTerm2025-1729,,,
WinterTerm2025-1731,10,8,0
WinterTerm2025-1732,10,7,0
WinterTerm2025-1745,6,6,0
WinterTerm2025-1746,6,6,3
WinterTerm2025-1069,,,
WinterTerm2025-1070,,,
WinterTerm2025-1734,16,16,0
WinterTerm2025-1735,16,16,0
WinterTerm2025-1737,11,4,0
WinterTerm2025-1738,11,3,0
WinterTerm2025-1739,20,14,0
WinterTerm2025-1741,,10,
WinterTerm2025-1071,,,
WinterTerm2025-1072,,,
WinterTerm2025-1073,,,
WinterTerm2025-1074,,,
WinterTerm2025-1742,9,2,0
WinterTerm2025-1743,,5,
WinterTerm2025-2124,,11,
WinterTerm2025-1075,,,
WinterTerm2025-1076,,,
WinterTerm2025-1077,,,
WinterTerm2025-1078,,,
WinterTerm2025-1079,,,
WinterTerm2025-1080,,,
WinterTerm2025-1081,,,
WinterTerm2025-1082,,,
SpringTerm2024-3623,22,18,0
SpringTerm2024-3624,22,17,0
SpringTerm2024-3620,22,12,0
SpringTerm2024-3621,22,10,0
SpringTerm2024-3079,,,
SpringTerm2024-3080,,,
SpringTerm2024-3561,10,5,0
SpringTerm2024-3562,10,4,0
SpringTerm2024-3566,20,5,0
SpringTerm2024-3567,20,4,0
SpringTerm2024-3603,20,11,0
SpringTerm2024-3604,20,7,0
SpringTerm2024-3606,20,15,0
SpringTerm2024-3607,20,10,0
SpringTerm2024-3609,16,8,0
SpringTerm2024-3610,16,9,0
SpringTerm2024-3081,,,
SpringTerm2024-3082,,,
SpringTerm2024-3083,,,
SpringTerm2024-3084,,,
SpringTerm2024-3568,20,6,0
SpringTerm2024-3569,,6,
SpringTerm2024-3085,,,
SpringTerm2024-3086,,,
SpringTerm2024-3087,,,
SpringTerm2024-3088,,,
SpringTerm2024-3570,,15,
SpringTerm2024-3089,,,
SpringTerm2024-3090,,,
SpringTerm2024-3091,,,
SpringTerm2024-3092,,,
SpringTerm2025-3763,9,8,2
SpringTerm2025-3764,9,9,1
SpringTerm2025-3769,14,1,0
SpringTerm2025-3770,14,4,0
SpringTerm2025-3772,10,5,0
SpringTerm2025-3773,10,4,0
SpringTerm2025-3071,,,
SpringTerm2025-3072,,,
SpringTerm2025-3775,10,5,0
SpringTerm2025-3776,10,6,0
SpringTerm2025-3780,20,6,0
SpringTerm2025-3781,20,5,0
SpringTerm2025-3783,16,2,0
SpringTerm2025-3784,16,6,0
SpringTerm2025-3786,16,15,0
SpringTerm2025-3787,16,11,0
SpringTerm2025-3073,,,
SpringTerm2025-3074,,,
SpringTerm2025-3075,,,
SpringTerm2025-3076,,,
SpringTerm2025-3788,24,24,6
SpringTerm2025-3790,,8,
SpringTerm2025-3077,,,
SpringTerm2025-3078,,,
SpringTerm2025-3079,,,
SpringTerm2025-3080,,,
SpringTerm2025-3791,,13,
SpringTerm2025-3081,,,
SpringTerm2025-3082,,,
SpringTerm2025-3083,,,
SpringTerm2025-3084,,,
FallTerm2023-6028,20,9,0
FallTerm2023-6029,20,15,0
FallTerm2023-5119,,,
FallTerm2023-5120,,,
FallTerm2023-6030,20,3,0
FallTerm2023-6031,20,5,0
FallTerm2023-5121,,,
FallTerm2023-5122,,,
FallTerm2023-5123,,,
FallTerm2023-5124,,,
FallTerm2023-6032,20,5,0
