CRN,Term,Time,"Times 2nd (lab, etc)",Instructors,Course Link,meeting_details
5625,1 (Fall 2023),08:30 AM-09:40 AM MWF,,C. Daughtry,term_in=202350&crn_in=5625&subj_code_in=ANTH&crse_numb_in=110,08:30 AM-09:40 AM MWF     STEI 102
5633,1 (Fall 2023),08:30 AM-09:40 AM MWF,,P. Peregrine,term_in=202350&crn_in=5633&subj_code_in=ANTH&crse_numb_in=120,08:30 AM-09:40 AM MWF     BRIG 326
5043,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5043&subj_code_in=ANTH&crse_numb_in=191,Arranged
5044,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5044&subj_code_in=ANTH&crse_numb_in=195,Arranged
5630,1 (Fall 2023),11:10 AM-12:20 PM MWF,,"C. Daughtry
B. Jenike",term_in=202350&crn_in=5630&subj_code_in=ANTH&crse_numb_in=200,11:10 AM-12:20 PM MWF     BRIG 326
5634,1 (Fall 2023),09:50 AM-11:00 AM MWF,,P. Peregrine,term_in=202350&crn_in=5634&subj_code_in=ANTH&crse_numb_in=222,09:50 AM-11:00 AM MWF     BRIG 326
5693,1 (Fall 2023),02:35 PM-04:20 PM TR,,K. Rocker,term_in=202350&crn_in=5693&subj_code_in=ANTH&crse_numb_in=300,02:35 PM-04:20 PM TR      BRIG 305
5626,1 (Fall 2023),08:30 AM-10:15 AM TR,,C. Daughtry,term_in=202350&crn_in=5626&subj_code_in=ANTH&crse_numb_in=306,08:30 AM-10:15 AM TR      BRIG 305
5628,1 (Fall 2023),01:50 PM-03:00 PM MWF,,D. Proctor,term_in=202350&crn_in=5628&subj_code_in=ANTH&crse_numb_in=341,01:50 PM-03:00 PM MWF     BRIG 326
5631,1 (Fall 2023),12:40 PM-02:25 PM TR,,"B. Vance
B. Jenike",term_in=202350&crn_in=5631&subj_code_in=ANTH&crse_numb_in=366,12:40 PM-02:25 PM TR      BRIG 305
5620,1 (Fall 2023),,,N. James,term_in=202350&crn_in=5620&subj_code_in=ANTH&crse_numb_in=372,Arranged
5045,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5045&subj_code_in=ANTH&crse_numb_in=390,Arranged
5046,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5046&subj_code_in=ANTH&crse_numb_in=391,Arranged
5047,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5047&subj_code_in=ANTH&crse_numb_in=395,Arranged
5048,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5048&subj_code_in=ANTH&crse_numb_in=399,Arranged
5692,1 (Fall 2023),10:25 AM-12:10 PM TR,,K. Rocker,term_in=202350&crn_in=5692&subj_code_in=ANTH&crse_numb_in=500,10:25 AM-12:10 PM TR      BRIG 305
5049,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5049&subj_code_in=ANTH&crse_numb_in=590,Arranged
5050,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5050&subj_code_in=ANTH&crse_numb_in=591,Arranged
5051,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5051&subj_code_in=ANTH&crse_numb_in=595,Arranged
5052,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5052&subj_code_in=ANTH&crse_numb_in=599,Arranged
5053,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5053&subj_code_in=ANTH&crse_numb_in=690,Arranged
5054,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5054&subj_code_in=ANTH&crse_numb_in=691,Arranged
5055,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5055&subj_code_in=ANTH&crse_numb_in=695,Arranged
5056,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5056&subj_code_in=ANTH&crse_numb_in=699,Arranged
5718,1 (Fall 2024),09:50 AM-11:00 AM MWF,,K. Rocker,term_in=202450&crn_in=5718&subj_code_in=ANTH&crse_numb_in=110,09:50 AM-11:00 AM MWF      
5719,1 (Fall 2024),01:50 PM-03:00 PM MWF,,Staff,term_in=202450&crn_in=5719&subj_code_in=ANTH&crse_numb_in=120,01:50 PM-03:00 PM MWF     BRIG 326
5043,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5043&subj_code_in=ANTH&crse_numb_in=191,Arranged
5044,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5044&subj_code_in=ANTH&crse_numb_in=195,Arranged
5720,1 (Fall 2024),12:40 PM-02:25 PM TR,,B. Jenike,term_in=202450&crn_in=5720&subj_code_in=ANTH&crse_numb_in=200,12:40 PM-02:25 PM TR      BRIG 305
5721,1 (Fall 2024),02:35 PM-04:20 PM TR,,K. Rocker,term_in=202450&crn_in=5721&subj_code_in=ANTH&crse_numb_in=300,02:35 PM-04:20 PM TR      BRIG 305
5841,1 (Fall 2024),08:30 AM-09:40 AM MWF,,Staff,term_in=202450&crn_in=5841&subj_code_in=ANTH&crse_numb_in=300,08:30 AM-09:40 AM MWF     BRIG 326
5722,1 (Fall 2024),11:10 AM-12:20 PM MWF,,D. Proctor,term_in=202450&crn_in=5722&subj_code_in=ANTH&crse_numb_in=341,11:10 AM-12:20 PM MWF     BRIG 326
5700,1 (Fall 2024),11:10 AM-12:20 PM MWF,,M. Jenike,term_in=202450&crn_in=5700&subj_code_in=ANTH&crse_numb_in=343,11:10 AM-12:20 PM MWF      
5679,1 (Fall 2024),,,N. James,term_in=202450&crn_in=5679&subj_code_in=ANTH&crse_numb_in=372,Arranged
5045,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5045&subj_code_in=ANTH&crse_numb_in=390,Arranged
5046,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5046&subj_code_in=ANTH&crse_numb_in=391,Arranged
5047,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5047&subj_code_in=ANTH&crse_numb_in=395,Arranged
5048,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5048&subj_code_in=ANTH&crse_numb_in=399,Arranged
5724,1 (Fall 2024),01:50 PM-03:00 PM MWF,,M. Jenike,term_in=202450&crn_in=5724&subj_code_in=ANTH&crse_numb_in=401,01:50 PM-03:00 PM MWF     BRIG 305
5725,1 (Fall 2024),10:25 AM-12:10 PM TR,,C. Daughtry,term_in=202450&crn_in=5725&subj_code_in=ANTH&crse_numb_in=500,10:25 AM-12:10 PM TR      BRIG 305
5049,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5049&subj_code_in=ANTH&crse_numb_in=590,Arranged
5050,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5050&subj_code_in=ANTH&crse_numb_in=591,Arranged
5051,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5051&subj_code_in=ANTH&crse_numb_in=595,Arranged
5052,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5052&subj_code_in=ANTH&crse_numb_in=599,Arranged
5053,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5053&subj_code_in=ANTH&crse_numb_in=690,Arranged
5054,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5054&subj_code_in=ANTH&crse_numb_in=691,Arranged
5055,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5055&subj_code_in=ANTH&crse_numb_in=695,Arranged
5056,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5056&subj_code_in=ANTH&crse_numb_in=699,Arranged
1621,2 (Winter 2024),09:50 AM-11:00 AM MWF,,K. Rocker,term_in=202420&crn_in=1621&subj_code_in=ANTH&crse_numb_in=110,09:50 AM-11:00 AM MWF     BRIG 224
1041,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1041&subj_code_in=ANTH&crse_numb_in=191,Arranged
1042,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1042&subj_code_in=ANTH&crse_numb_in=195,Arranged
1626,2 (Winter 2024),08:30 AM-09:40 AM MWF,,P. Peregrine,term_in=202420&crn_in=1626&subj_code_in=ANTH&crse_numb_in=207,08:30 AM-09:40 AM MWF     BRIG 305
1696,2 (Winter 2024),12:40 PM-02:25 PM TR,,K. Rocker,term_in=202420&crn_in=1696&subj_code_in=ANTH&crse_numb_in=300,12:40 PM-02:25 PM TR      BRIG 305
1627,2 (Winter 2024),09:50 AM-11:00 AM MWF,,P. Peregrine,term_in=202420&crn_in=1627&subj_code_in=ANTH&crse_numb_in=322,09:50 AM-11:00 AM MWF     BRIG 305
1624,2 (Winter 2024),01:50 PM-03:00 PM MWF,,D. Proctor,term_in=202420&crn_in=1624&subj_code_in=ANTH&crse_numb_in=347,01:50 PM-03:00 PM MWF     BRIG 326
1043,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1043&subj_code_in=ANTH&crse_numb_in=390,Arranged
1044,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1044&subj_code_in=ANTH&crse_numb_in=391,Arranged
1045,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1045&subj_code_in=ANTH&crse_numb_in=395,Arranged
1046,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1046&subj_code_in=ANTH&crse_numb_in=399,Arranged
1622,2 (Winter 2024),08:30 AM-10:15 AM TR,,C. Daughtry,term_in=202420&crn_in=1622&subj_code_in=ANTH&crse_numb_in=512,08:30 AM-10:15 AM TR      BRIG 305
1625,2 (Winter 2024),10:25 AM-12:10 PM TR,,B. Jenike,term_in=202420&crn_in=1625&subj_code_in=ANTH&crse_numb_in=552,10:25 AM-12:10 PM TR      BRIG 305
1047,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1047&subj_code_in=ANTH&crse_numb_in=590,Arranged
1048,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1048&subj_code_in=ANTH&crse_numb_in=591,Arranged
1049,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1049&subj_code_in=ANTH&crse_numb_in=595,Arranged
1050,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1050&subj_code_in=ANTH&crse_numb_in=599,Arranged
1051,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1051&subj_code_in=ANTH&crse_numb_in=690,Arranged
1052,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1052&subj_code_in=ANTH&crse_numb_in=691,Arranged
1053,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1053&subj_code_in=ANTH&crse_numb_in=695,Arranged
1054,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1054&subj_code_in=ANTH&crse_numb_in=699,Arranged
1672,2 (Winter 2025),08:30 AM-09:40 AM MWF,,C. Daughtry,term_in=202520&crn_in=1672&subj_code_in=ANTH&crse_numb_in=110,08:30 AM-09:40 AM MWF     BRIG 420
2086,2 (Winter 2025),11:10 AM-12:20 PM MWF,,Staff,term_in=202520&crn_in=2086&subj_code_in=ANTH&crse_numb_in=110,11:10 AM-12:20 PM MWF     STEI 102
1961,2 (Winter 2025),09:50 AM-11:00 AM MWF,,M. Jenike,term_in=202520&crn_in=1961&subj_code_in=ANTH&crse_numb_in=141,09:50 AM-11:00 AM MWF      
1007,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1007&subj_code_in=ANTH&crse_numb_in=191,Arranged
1008,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1008&subj_code_in=ANTH&crse_numb_in=195,Arranged
1850,2 (Winter 2025),11:10 AM-12:20 PM MWF,,Staff,term_in=202520&crn_in=1850&subj_code_in=ANTH&crse_numb_in=207,11:10 AM-12:20 PM MWF     BRIG 421
1673,2 (Winter 2025),02:35 PM-04:20 PM TR,,K. Rocker,term_in=202520&crn_in=1673&subj_code_in=ANTH&crse_numb_in=300,02:35 PM-04:20 PM TR      BRIG 305
1700,2 (Winter 2025),01:50 PM-03:00 PM MWF,,D. Proctor,term_in=202520&crn_in=1700&subj_code_in=ANTH&crse_numb_in=300,01:50 PM-03:00 PM MWF     BRIG 326
1674,2 (Winter 2025),08:30 AM-10:15 AM TR,,C. Daughtry,term_in=202520&crn_in=1674&subj_code_in=ANTH&crse_numb_in=330,08:30 AM-10:15 AM TR      BRIG 305
1009,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1009&subj_code_in=ANTH&crse_numb_in=390,Arranged
1010,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1010&subj_code_in=ANTH&crse_numb_in=391,Arranged
1011,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1011&subj_code_in=ANTH&crse_numb_in=395,Arranged
1012,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1012&subj_code_in=ANTH&crse_numb_in=399,Arranged
1676,2 (Winter 2025),10:25 AM-12:10 PM TR,,K. Rocker,term_in=202520&crn_in=1676&subj_code_in=ANTH&crse_numb_in=500,10:25 AM-12:10 PM TR      BRIG 305
1677,2 (Winter 2025),12:40 PM-02:25 PM TR,,B. Jenike,term_in=202520&crn_in=1677&subj_code_in=ANTH&crse_numb_in=551,12:40 PM-02:25 PM TR      BRIG 305
1013,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1013&subj_code_in=ANTH&crse_numb_in=590,Arranged
1014,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1014&subj_code_in=ANTH&crse_numb_in=591,Arranged
1015,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1015&subj_code_in=ANTH&crse_numb_in=595,Arranged
1016,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1016&subj_code_in=ANTH&crse_numb_in=599,Arranged
1017,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1017&subj_code_in=ANTH&crse_numb_in=690,Arranged
1018,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1018&subj_code_in=ANTH&crse_numb_in=691,Arranged
1019,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1019&subj_code_in=ANTH&crse_numb_in=695,Arranged
1020,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1020&subj_code_in=ANTH&crse_numb_in=699,Arranged
3633,3 (Spring 2024),01:50 PM-03:00 PM MWF,,K. Rocker,term_in=202430&crn_in=3633&subj_code_in=ANTH&crse_numb_in=110,01:50 PM-03:00 PM MWF     BRIG 420
3631,3 (Spring 2024),09:50 AM-11:00 AM MWF,01:00 PM-04:00 PM M,D. Proctor,term_in=202430&crn_in=3631&subj_code_in=ANTH&crse_numb_in=140,"09:50 AM-11:00 AM MWF     BRIG 326
01:00 PM-04:00 PM M       BRIG 326"
3632,3 (Spring 2024),09:50 AM-11:00 AM MWF,01:00 PM-04:00 PM R,D. Proctor,term_in=202430&crn_in=3632&subj_code_in=ANTH&crse_numb_in=140,"09:50 AM-11:00 AM MWF     BRIG 326
01:00 PM-04:00 PM R       BRIG 326"
3017,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3017&subj_code_in=ANTH&crse_numb_in=191,Arranged
3018,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3018&subj_code_in=ANTH&crse_numb_in=195,Arranged
3625,3 (Spring 2024),11:10 AM-12:20 PM MWF,,K. Rocker,term_in=202430&crn_in=3625&subj_code_in=ANTH&crse_numb_in=210,11:10 AM-12:20 PM MWF     BRIG 305
3634,3 (Spring 2024),10:25 AM-12:10 PM TR,,B. Jenike,term_in=202430&crn_in=3634&subj_code_in=ANTH&crse_numb_in=342,10:25 AM-12:10 PM TR      BRIG 326
3615,3 (Spring 2024),,,N. James,term_in=202430&crn_in=3615&subj_code_in=ANTH&crse_numb_in=372,Arranged
3019,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3019&subj_code_in=ANTH&crse_numb_in=390,Arranged
3020,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3020&subj_code_in=ANTH&crse_numb_in=391,Arranged
3021,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3021&subj_code_in=ANTH&crse_numb_in=395,Arranged
3022,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3022&subj_code_in=ANTH&crse_numb_in=399,Arranged
3999,3 (Spring 2024),09:50 AM-11:00 AM MWF,,P. Peregrine,term_in=202430&crn_in=3999&subj_code_in=ANTH&crse_numb_in=422,09:50 AM-11:00 AM MWF     BRIG 305
3640,3 (Spring 2024),,,S. Gamalinda,term_in=202430&crn_in=3640&subj_code_in=ANTH&crse_numb_in=450,Arranged
3664,3 (Spring 2024),08:30 AM-09:40 AM MWF,,P. Peregrine,term_in=202430&crn_in=3664&subj_code_in=ANTH&crse_numb_in=520,08:30 AM-09:40 AM MWF     BRIG 305
3023,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3023&subj_code_in=ANTH&crse_numb_in=590,Arranged
3024,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3024&subj_code_in=ANTH&crse_numb_in=591,Arranged
3025,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3025&subj_code_in=ANTH&crse_numb_in=595,Arranged
3026,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3026&subj_code_in=ANTH&crse_numb_in=599,Arranged
3027,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3027&subj_code_in=ANTH&crse_numb_in=690,Arranged
3028,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3028&subj_code_in=ANTH&crse_numb_in=691,Arranged
3029,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3029&subj_code_in=ANTH&crse_numb_in=695,Arranged
3030,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3030&subj_code_in=ANTH&crse_numb_in=699,Arranged
3680,3 (Spring 2025),10:25 AM-12:10 PM TR,,B. Jenike,term_in=202530&crn_in=3680&subj_code_in=ANTH&crse_numb_in=110,10:25 AM-12:10 PM TR      BRIG 420
3945,3 (Spring 2025),09:50 AM-11:00 AM MWF,,D. Proctor,term_in=202530&crn_in=3945&subj_code_in=ANTH&crse_numb_in=142,09:50 AM-11:00 AM MWF     BRIG 326
3009,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3009&subj_code_in=ANTH&crse_numb_in=191,Arranged
3010,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3010&subj_code_in=ANTH&crse_numb_in=195,Arranged
3681,3 (Spring 2025),11:10 AM-12:20 PM MWF,,K. Rocker,term_in=202530&crn_in=3681&subj_code_in=ANTH&crse_numb_in=210,11:10 AM-12:20 PM MWF     BRIG 305
3842,3 (Spring 2025),08:30 AM-10:15 AM TR,,Staff,term_in=202530&crn_in=3842&subj_code_in=ANTH&crse_numb_in=222,08:30 AM-10:15 AM TR      BRIG 326
3711,3 (Spring 2025),01:50 PM-03:00 PM MWF,,M. Jenike,term_in=202530&crn_in=3711&subj_code_in=ANTH&crse_numb_in=340,01:50 PM-03:00 PM MWF     BRIG 305
3712,3 (Spring 2025),12:40 PM-02:25 PM TR,,D. Proctor,term_in=202530&crn_in=3712&subj_code_in=ANTH&crse_numb_in=347,12:40 PM-02:25 PM TR      BRIG 326
3683,3 (Spring 2025),12:40 PM-02:25 PM TR,,K. Rocker,term_in=202530&crn_in=3683&subj_code_in=ANTH&crse_numb_in=353,12:40 PM-02:25 PM TR      BRIG 305
3649,3 (Spring 2025),,,N. James,term_in=202530&crn_in=3649&subj_code_in=ANTH&crse_numb_in=372,Arranged
3682,3 (Spring 2025),08:30 AM-09:40 AM MWF,,C. Daughtry,term_in=202530&crn_in=3682&subj_code_in=ANTH&crse_numb_in=374,08:30 AM-09:40 AM MWF     BRIG 305
3011,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3011&subj_code_in=ANTH&crse_numb_in=390,Arranged
3012,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3012&subj_code_in=ANTH&crse_numb_in=391,Arranged
3013,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3013&subj_code_in=ANTH&crse_numb_in=395,Arranged
3014,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3014&subj_code_in=ANTH&crse_numb_in=399,Arranged
3736,3 (Spring 2025),,,S. Gamalinda,term_in=202530&crn_in=3736&subj_code_in=ANTH&crse_numb_in=450,Arranged
3684,3 (Spring 2025),08:30 AM-10:15 AM TR,,C. Daughtry,term_in=202530&crn_in=3684&subj_code_in=ANTH&crse_numb_in=500,08:30 AM-10:15 AM TR      BRIG 206
3841,3 (Spring 2025),02:35 PM-04:20 PM TR,,Staff,term_in=202530&crn_in=3841&subj_code_in=ANTH&crse_numb_in=520,02:35 PM-04:20 PM TR      BRIG 326
3850,3 (Spring 2025),10:25 AM-12:10 PM TR,,M. Jenike,term_in=202530&crn_in=3850&subj_code_in=ANTH&crse_numb_in=540,10:25 AM-12:10 PM TR       
3015,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3015&subj_code_in=ANTH&crse_numb_in=590,Arranged
3016,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3016&subj_code_in=ANTH&crse_numb_in=591,Arranged
3017,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3017&subj_code_in=ANTH&crse_numb_in=595,Arranged
3018,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3018&subj_code_in=ANTH&crse_numb_in=599,Arranged
3019,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3019&subj_code_in=ANTH&crse_numb_in=690,Arranged
3020,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3020&subj_code_in=ANTH&crse_numb_in=691,Arranged
3021,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3021&subj_code_in=ANTH&crse_numb_in=695,Arranged
3022,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3022&subj_code_in=ANTH&crse_numb_in=699,Arranged
5714,1 (Fall 2023),01:50 PM-03:00 PM MWF,,B. Zinsli,term_in=202350&crn_in=5714&subj_code_in=ARHI&crse_numb_in=101,01:50 PM-03:00 PM MWF     MEMO 002
5057,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5057&subj_code_in=ARHI&crse_numb_in=191,Arranged
5058,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5058&subj_code_in=ARHI&crse_numb_in=195,Arranged
5715,1 (Fall 2023),09:50 AM-11:00 AM MWF,,E. Carlson,term_in=202350&crn_in=5715&subj_code_in=ARHI&crse_numb_in=244,09:50 AM-11:00 AM MWF     WRIS 221
5997,1 (Fall 2023),,,D. Joyner,term_in=202350&crn_in=5997&subj_code_in=ARHI&crse_numb_in=260,Arranged
5844,1 (Fall 2023),,,D. Joyner,term_in=202350&crn_in=5844&subj_code_in=ARHI&crse_numb_in=262,Arranged
5804,1 (Fall 2023),10:25 AM-12:10 PM TR,,E. Carlson,term_in=202350&crn_in=5804&subj_code_in=ARHI&crse_numb_in=341,10:25 AM-12:10 PM TR      WRIS 215
5806,1 (Fall 2023),02:35 PM-04:20 PM TR,,N. Lin,term_in=202350&crn_in=5806&subj_code_in=ARHI&crse_numb_in=345,02:35 PM-04:20 PM TR      WRIS 224
5059,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5059&subj_code_in=ARHI&crse_numb_in=390,Arranged
5060,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5060&subj_code_in=ARHI&crse_numb_in=391,Arranged
5061,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5061&subj_code_in=ARHI&crse_numb_in=395,Arranged
5062,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5062&subj_code_in=ARHI&crse_numb_in=399,Arranged
5802,1 (Fall 2023),10:25 AM-12:10 PM TR,,E. Carlson,term_in=202350&crn_in=5802&subj_code_in=ARHI&crse_numb_in=440,10:25 AM-12:10 PM TR      WRIS 215
5063,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5063&subj_code_in=ARHI&crse_numb_in=590,Arranged
5064,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5064&subj_code_in=ARHI&crse_numb_in=591,Arranged
5065,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5065&subj_code_in=ARHI&crse_numb_in=595,Arranged
5066,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5066&subj_code_in=ARHI&crse_numb_in=599,Arranged
5067,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5067&subj_code_in=ARHI&crse_numb_in=690,Arranged
5068,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5068&subj_code_in=ARHI&crse_numb_in=691,Arranged
5069,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5069&subj_code_in=ARHI&crse_numb_in=695,Arranged
5070,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5070&subj_code_in=ARHI&crse_numb_in=699,Arranged
5737,1 (Fall 2024),09:50 AM-11:00 AM MWF,,B. Zinsli,term_in=202450&crn_in=5737&subj_code_in=ARHI&crse_numb_in=101,09:50 AM-11:00 AM MWF     MEMO 002
5057,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5057&subj_code_in=ARHI&crse_numb_in=191,Arranged
5058,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5058&subj_code_in=ARHI&crse_numb_in=195,Arranged
5738,1 (Fall 2024),08:30 AM-09:40 AM MWF,,D. Joyner,term_in=202450&crn_in=5738&subj_code_in=ARHI&crse_numb_in=205,08:30 AM-09:40 AM MWF     WRIS 221
5959,1 (Fall 2024),11:10 AM-12:20 PM MWF,,D. Joyner,term_in=202450&crn_in=5959&subj_code_in=ARHI&crse_numb_in=221,11:10 AM-12:20 PM MWF      
5739,1 (Fall 2024),01:50 PM-03:00 PM MWF,,E. Carlson,term_in=202450&crn_in=5739&subj_code_in=ARHI&crse_numb_in=242,01:50 PM-03:00 PM MWF     WRIS 221
5684,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5684&subj_code_in=ARHI&crse_numb_in=247,Arranged
5957,1 (Fall 2024),02:35 PM-04:20 PM TR,,E. Carlson,term_in=202450&crn_in=5957&subj_code_in=ARHI&crse_numb_in=341,02:35 PM-04:20 PM TR      WRIS 215
5059,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5059&subj_code_in=ARHI&crse_numb_in=390,Arranged
5060,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5060&subj_code_in=ARHI&crse_numb_in=391,Arranged
5061,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5061&subj_code_in=ARHI&crse_numb_in=395,Arranged
5062,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5062&subj_code_in=ARHI&crse_numb_in=399,Arranged
5956,1 (Fall 2024),02:35 PM-04:20 PM TR,,E. Carlson,term_in=202450&crn_in=5956&subj_code_in=ARHI&crse_numb_in=440,02:35 PM-04:20 PM TR      WRIS 215
5063,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5063&subj_code_in=ARHI&crse_numb_in=590,Arranged
5064,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5064&subj_code_in=ARHI&crse_numb_in=591,Arranged
5065,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5065&subj_code_in=ARHI&crse_numb_in=595,Arranged
5066,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5066&subj_code_in=ARHI&crse_numb_in=599,Arranged
5067,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5067&subj_code_in=ARHI&crse_numb_in=690,Arranged
5068,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5068&subj_code_in=ARHI&crse_numb_in=691,Arranged
5069,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5069&subj_code_in=ARHI&crse_numb_in=695,Arranged
5070,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5070&subj_code_in=ARHI&crse_numb_in=699,Arranged
1727,2 (Winter 2024),03:10 PM-04:20 PM MWF,,N. Lin,term_in=202420&crn_in=1727&subj_code_in=ARHI&crse_numb_in=101,03:10 PM-04:20 PM MWF     WRIS 224
1055,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1055&subj_code_in=ARHI&crse_numb_in=191,Arranged
1056,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1056&subj_code_in=ARHI&crse_numb_in=195,Arranged
2067,2 (Winter 2024),,,K. Godman,term_in=202420&crn_in=2067&subj_code_in=ARHI&crse_numb_in=246,Arranged
