CRN,Term,Dept,Num,Name,APR,Units,PreReqs,Description,IS_DS_TU_IN
5620,1 (Fall 2023),ANTH,372,URBAN ANTHROPOLOGY OF LONDON,,6,Must be attending the Lawrence London Centre.,"This seminar combines a variety of methods to explore contemporary British culture. In addition to the readings and field trips, students conduct ethnographic fieldwork in London on a topic of their own interest. This may be based in a particular place or, more broadly, focus on a certain group of people. The course provides an introduction to field research methods. Throughout the term, students participate in shorter exercises designed to develop their confidence in the skills of observation, interviewing, description, and analysis. Readings on topics such as neighborhoods, social use of language, class, education, and migration experience provide a framework for understanding the detail of the individual projects. Students are expected to make presentations and participate in discussions.  Offered at the London Centre. PREREQUISITES: Must be attending the Lawrence London Centre.",N
5045,1 (Fall 2023),ANTH,390,TUTORIAL IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced study of selected topics. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
5046,1 (Fall 2023),ANTH,391,DIRECTED STUDY IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5047,1 (Fall 2023),ANTH,395,INTERNSHIP IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Applied work in anthropology arranged and carried out under the direction of an instructor.  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5048,1 (Fall 2023),ANTH,399,INDEP STUDY IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Advanced research. Students considering an honors project should register for this course, for one or more terms. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5692,1 (Fall 2023),ANTH,500,TOP: HUMAN RIGHTS,,6,Junior standing and at least two courses in anthropology or consent of instructor,"An examination of a particular topic in contemporary anthropology. The specific topic investigated changes each year. Students are expected to carry out independent research on the topic, either through a review of relevant literature or through field or laboratory work.   Topic for Fall 2023: Human RightsPREREQUISITES: Junior standing and at least two courses in anthropology or consent of instructorThis course will focus on the events that led to the development of human rights as a concept and as something in need of protection. We will evaluate human rights theory and practice, including the global, regional, and local ideologies and doctrines, such as nationalism, relativism, liberalism, and neoliberalism, at the heart of human rights violations and studies. Case studies explored in this course will include genocide, mass disappearances, gendered violence, and other forms of political and structural violence. Students will explore the role of anthropologists in addressing issues of human rights and their effects on communities.",N
5049,1 (Fall 2023),ANTH,590,TUTORIAL IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced study of selected topics. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
5050,1 (Fall 2023),ANTH,591,DIRECTED STUDY IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5051,1 (Fall 2023),ANTH,595,INTERNSHIP IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Applied work in anthropology arranged and carried out under the direction of an instructor.  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5052,1 (Fall 2023),ANTH,599,INDEP STUDY IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Advanced research. Students considering an honors project should register for this course, for one or more terms. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5053,1 (Fall 2023),ANTH,690,TUTORIAL IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced study of selected topics. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
5054,1 (Fall 2023),ANTH,691,DIRECTED STUDY IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5055,1 (Fall 2023),ANTH,695,INTERNSHIP IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Applied work in anthropology arranged and carried out under the direction of an instructor.  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5056,1 (Fall 2023),ANTH,699,INDEP STUDY IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Advanced research. Students considering an honors project should register for this course, for one or more terms. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5718,1 (Fall 2024),ANTH,110,CULTURAL ANTHROPOLOGY,,6,Freshman or sophomore standing; consent of instructor required for juniors and seniors,"An introduction to the nature of culture, the organization of social relations, and the relationships between values and behavior. Attention to language, kinship, and religion as cultural systems, as well as to forms of social control, stratification and inequality in relation to culture (including gender, race, ethnicity, and class). Social patterns and processes within and across cultures examined through ethnographic cases studies from around the world. PREREQUISITES: Freshman or sophomore standing; consent of instructor required for juniors and seniors",N
5719,1 (Fall 2024),ANTH,120,WORLD PREHISTORY,,6,Freshman or sophomore standing; consent of instructor required for juniors and seniors,"An introduction to the peoples and cultures of the world from 40,000 years ago to 2,000 years ago. Major events in world prehistory, such as the origins of agriculture, the rise of cities, and the spread of states, are examined and discussed. General trends in cultural evolution are proposed and evaluated.  This course may not be taken on a Satisfactory/Unsatisfactory basis. PREREQUISITES: Freshman or sophomore standing; consent of instructor required for juniors and seniors",N
5043,1 (Fall 2024),ANTH,191,DIRECTED STUDY IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5044,1 (Fall 2024),ANTH,195,INTERNSHIP IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Applied work in anthropology arranged and carried out under the direction of an instructor.   The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5720,1 (Fall 2024),ANTH,200,HIST OF ANTHROPOLOGICAL IDEAS,,6,"ANTH 110, 120, or 140, preferably all three. Recommended for anthropology majors in the sophomore year; must be completed by the end of the junior year.","A study of the development of anthropology as a scholarly discipline and a method of inquiry. Consideration of theoretical perspectives such as evolutionism, historical particularism, functionalism, cultural materialism, structuralism, interpretive and postmodernist approaches, and also the significance of participant-observation and other field research strategies in shaping anthropological knowledge. PREREQUISITES: ANTH 110, 120, or 140, preferably all three. Recommended for anthropology majors in the sophomore year; must be completed by the end of the junior year.",N
5721,1 (Fall 2024),ANTH,300,TOP: ETHNOGRAPHY OF (POST)COLD,,6,"sophomore standing, ANTH 110 or instructor consent","An examination of a particular topic in contemporary anthropology. The specific topic investigated changes each year or term.Topic for Fall 2024: Ethnography of (Post)Cold War EuropePREREQUISITES: sophomore standing or ANTH 110 or instructor consentThis course explores some of the profound ways that socialist ideals and politics structured lives in the region of Eastern Europe and Eurasia and, in many critical ways, continue to shape lives in a post-Cold War era today. We will draw on ethnographic case studies to consider the meaning and utility of the term “postsocialism;” problematize geographically fixed entities such as “Europe” and “Eastern Europe;” and explore the various cultural logics, shared political histories, and experiences of state socialism and postsocialism. Issues to be explored include materiality, precarity, class, gender, memory politics, activism, and identity construction.Topic for Fall 2024: Anthropology of SustainabilityPREREQUISITES: NoneWhile sustainability science may be a relatively new discipline, the human species has a long history of interacting with the environment in both sustainable and unsustainable manners. Why is this? Why aren’t we always just choosing sustainability – it would be better for everyone, right? In this course we will explore these and more questions around sustainability through an anthropological lens to suggest and identify potential solutions to contemporary global and local sustainability issues.",N
5841,1 (Fall 2024),ANTH,300,TOP: ANTHROPOLOGY OF SUSTAINAB,,6,"sophomore standing, ANTH 110 or instructor consent","An examination of a particular topic in contemporary anthropology. The specific topic investigated changes each year or term.Topic for Fall 2024: Ethnography of (Post)Cold War EuropePREREQUISITES: sophomore standing or ANTH 110 or instructor consentThis course explores some of the profound ways that socialist ideals and politics structured lives in the region of Eastern Europe and Eurasia and, in many critical ways, continue to shape lives in a post-Cold War era today. We will draw on ethnographic case studies to consider the meaning and utility of the term “postsocialism;” problematize geographically fixed entities such as “Europe” and “Eastern Europe;” and explore the various cultural logics, shared political histories, and experiences of state socialism and postsocialism. Issues to be explored include materiality, precarity, class, gender, memory politics, activism, and identity construction.Topic for Fall 2024: Anthropology of SustainabilityPREREQUISITES: NoneWhile sustainability science may be a relatively new discipline, the human species has a long history of interacting with the environment in both sustainable and unsustainable manners. Why is this? Why aren’t we always just choosing sustainability – it would be better for everyone, right? In this course we will explore these and more questions around sustainability through an anthropological lens to suggest and identify potential solutions to contemporary global and local sustainability issues.",N
5722,1 (Fall 2024),ANTH,341,HUMAN VARIATION,,6,"ANTH 140, BIOL 110, or consent of instructor","A survey of human biological variation and adaptation.  Topics include the geographic distribution of human variation; evolutionary approaches to understanding human diversity; historic and modern concepts of race and ethnicity; human biological adaptations to disease, climate, poverty, and other stressors; and the genetics of simple and complex traits. PREREQUISITES: ANTH 140, BIOL 110, or consent of instructor",N
5700,1 (Fall 2024),ANTH,343,UNDERSTANDING DIABETES,,6,"Sophomore standing, one course in Biology","Investigation of diabetes types in their genetic, evolutionary, pathophysiological, cultural, social, and public health dimensions serves as a model for holistic study of human health. Research-based group projects flow from students' interests with an emphasis on achieving interdisciplinary understandings of diabetes. Skill development in information literacy, collaborative inquiry, and effective communication. Weekly assessments, research-based group projects, individual final project; brief lectures, discussion, small group work. PREREQUISITES: Sophomore standing, one course in Biology",N
5679,1 (Fall 2024),ANTH,372,URBAN ANTHROPOLOGY OF LONDON,,6,Must be attending the Lawrence London Centre.,"This seminar combines a variety of methods to explore contemporary British culture. In addition to the readings and field trips, students conduct ethnographic fieldwork in London on a topic of their own interest. This may be based in a particular place or, more broadly, focus on a certain group of people. The course provides an introduction to field research methods. Throughout the term, students participate in shorter exercises designed to develop their confidence in the skills of observation, interviewing, description, and analysis. Readings on topics such as neighborhoods, social use of language, class, education, and migration experience provide a framework for understanding the detail of the individual projects. Students are expected to make presentations and participate in discussions.  Offered at the London Centre. PREREQUISITES: Must be attending the Lawrence London Centre.",N
5045,1 (Fall 2024),ANTH,390,TUTORIAL IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced study of selected topics. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
5046,1 (Fall 2024),ANTH,391,DIRECTED STUDY IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5047,1 (Fall 2024),ANTH,395,INTERNSHIP IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Applied work in anthropology arranged and carried out under the direction of an instructor.  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5048,1 (Fall 2024),ANTH,399,INDEP STUDY IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Advanced research. Students considering an honors project should register for this course, for one or more terms. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5724,1 (Fall 2024),ANTH,401,RESEARCH PREP IN ANTHROPOLOGY,,6,ANTH 200 and junior or senior standing,"Students will develop advanced library research skills with a focus on anthropological resources and topics.  Each student will write a thematic annotated bibliography based on library research, consider ethical implications of empirical research on the topic they have chosen, and formulate a plan for their senior experience foundation and independent study courses.  This course will also explore career development for anthroplogy majors. Seminar. PREREQUISITES: ANTH 200 and junior or senior standing",N
5725,1 (Fall 2024),ANTH,500,TOP: FOOD JUSTICE MOVEMENTS,,6,Junior standing and at least two courses in anthropology or consent of instructor,"An examination of a particular topic in contemporary anthropology. The specific topic investigated changes each year. Students are expected to carry out independent research on the topic, either through a review of relevant literature or through field or laboratory work.    Topic for Fall 2024: Food Justice Movements PREREQUISITES: Junior standing or two courses in anthropology or consent of instructor This course draws upon the theories, methodologies, and cultural knowledge of anthropology to explore food justice movements. It takes a systemic perspective that holistically examines cultural arrangements controlling food production, distribution, preparation, consumption, and food as symbol and meaning in food media & food cultures. It explores what it means to approach the study of food systems through the lens of justice.",N
5049,1 (Fall 2024),ANTH,590,TUTORIAL IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced study of selected topics. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
5050,1 (Fall 2024),ANTH,591,DIRECTED STUDY IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5051,1 (Fall 2024),ANTH,595,INTERNSHIP IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Applied work in anthropology arranged and carried out under the direction of an instructor.  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5052,1 (Fall 2024),ANTH,599,INDEP STUDY IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Advanced research. Students considering an honors project should register for this course, for one or more terms. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5053,1 (Fall 2024),ANTH,690,TUTORIAL IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced study of selected topics. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
5054,1 (Fall 2024),ANTH,691,DIRECTED STUDY IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5055,1 (Fall 2024),ANTH,695,INTERNSHIP IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Applied work in anthropology arranged and carried out under the direction of an instructor.  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5056,1 (Fall 2024),ANTH,699,INDEP STUDY IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Advanced research. Students considering an honors project should register for this course, for one or more terms. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1621,2 (Winter 2024),ANTH,110,CULTURAL ANTHROPOLOGY,,6,Freshman or sophomore standing; consent of instructor required for juniors and seniors,"An introduction to the nature of culture, the organization of social relations, and the relationships between values and behavior. Attention to language, kinship, and religion as cultural systems, as well as to forms of social control, stratification and inequality in relation to culture (including gender, race, ethnicity, and class). Social patterns and processes within and across cultures examined through ethnographic cases studies from around the world. PREREQUISITES: Freshman or sophomore standing; consent of instructor required for juniors and seniors",N
1041,2 (Winter 2024),ANTH,191,DIRECTED STUDY IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1042,2 (Winter 2024),ANTH,195,INTERNSHIP IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Applied work in anthropology arranged and carried out under the direction of an instructor.   The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1626,2 (Winter 2024),ANTH,207,QUANTITATIVE ANALYSIS IN ANTH,APR,6,"ANTH 110, 120, or 140, preferably all three. Recommended for anthropology majors in the sophomore year; must be completed by the end of the junior year.","An introduction to the collection and manipulation of quantitative data in anthropological research. Topics include sampling, measurement, and basic nominal and ordinal statistics. PREREQUISITES: ANTH 110, 120, or 140, preferably all three. Recommended for anthropology majors in the sophomore year; must be completed by the end of the junior year.",N
1696,2 (Winter 2024),ANTH,300,TOP: ANTHROPOLOGY AND SCI-FI,,6,"sophomore standing, ANTH 110 or instructor consent","An examination of a particular topic in contemporary anthropology. The specific topic investigated changes each year or term.  Topic for Winter 2024: Anthropology and Science Fiction PREREQUISITES: sophomore standing and either ANTH 110 or instructor consent Though science fiction is a genre of literature and anthropology is a social science, they are united in their efforts to describe cultures and understand cultural differences. This course pairs science fiction literature about “other worlds” with ethnographic examples of documented cultural variation as an introduction to the anthropological study of human diversity and what it means to be human. Students will engage in classic and contemporary anthropological topics, including confronting otherness, variations in family, social, and political organization, and efforts to enhance the human body/human species.",N
1627,2 (Winter 2024),ANTH,322,ARCHAEOLOGY OF NORTH AMERICA,,6,ANTH 120,"An introduction to the ancient peoples of North America from the initial colonists to the peoples who encountered European colonists some 13,000 years later.  Special emphasis is given to the ancient inhabitants of the Great Lakes region. PREREQUISITES: ANTH 120",N
1624,2 (Winter 2024),ANTH,347,INTRO TO FORENSIC ANTHROPOLOGY,,6,Sophomore standing required; ANTH 140 recommended,"This course is an introduction to forensic anthropology and human osteology, including a comprehensive study of the human skeleton and sections on determining ancestry, sex, and age of a skeleton.  Further topics include how to approach a crime scene, determining forensic significance, and the postmortem processes of the human body. PREREQUISITES: Sophomore standing required; ANTH 140 recommended",N
1043,2 (Winter 2024),ANTH,390,TUTORIAL IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced study of selected topics. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
1044,2 (Winter 2024),ANTH,391,DIRECTED STUDY IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1045,2 (Winter 2024),ANTH,395,INTERNSHIP IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Applied work in anthropology arranged and carried out under the direction of an instructor.  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1046,2 (Winter 2024),ANTH,399,INDEP STUDY IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Advanced research. Students considering an honors project should register for this course, for one or more terms. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1622,2 (Winter 2024),ANTH,512,FICTIONS OF AFRICA,,6,Junior or senior standing and at least two other courses in the social sciences,"An exploration of African culture and history through literature and film by African authors/directors. Issues to be explored include African debates on colonialism, post-colonialism, gender, class, and ethnic stratification, religion, modernization and development. Fictional works will be discussed in tandem with ethnographic monographs and critical essays. PREREQUISITES: Junior or senior standing and at least two other courses in the social sciences",N
1625,2 (Winter 2024),ANTH,552,DISABILITY AND CULTURE,,6,"ANTH 110 or ANTH 342, and junior or senior standing","Disability is a social and lived category fundamental to human experience.  This advanced discussion seminar draws from experiential, reflexive, phenomenological, and critical approaches in cultural and medical anthropology to cross-culturally explore the subjectivities of perceived disabilities in both local and global worlds.  Topics may include: autism, learning disabilities, bipolar disorder, schizophrenia, chronic pain, d/Deaf culture, and other categories of social impairment. Papers, research paper and presentation. PREREQUISITES: ANTH 110 or ANTH 342, and junior or senior standing",N
1047,2 (Winter 2024),ANTH,590,TUTORIAL IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced study of selected topics. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
1048,2 (Winter 2024),ANTH,591,DIRECTED STUDY IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1049,2 (Winter 2024),ANTH,595,INTERNSHIP IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Applied work in anthropology arranged and carried out under the direction of an instructor.  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1050,2 (Winter 2024),ANTH,599,INDEP STUDY IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Advanced research. Students considering an honors project should register for this course, for one or more terms. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1051,2 (Winter 2024),ANTH,690,TUTORIAL IN ANTHROPOLOGY,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced study of selected topics. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
